name,price,rating,latitude,longitude,station,distance
Grand Central Terminal,,4.5,,,Grand Central Station,23.659561944337096
The Halal Guys,$,4.5,,,Grand Central Station,990.0072273286495
Sushi Yasuda,$$$$,4.0,,,Grand Central Station,368.04090646466466
Sakagura,$$$,4.0,,,Grand Central Station,380.6678343343203
Bryant Park,,4.5,,,Grand Central Station,560.5059694649601
Top of the Rock,,4.5,,,Grand Central Station,730.5291014521001
Num Pang Kitchen,$,4.0,,,Grand Central Station,302.74627469455623
Del Frisco's Double Eagle Steak House,$$$$,4.5,,,Grand Central Station,814.9223408686281
Momosan Ramen & Sake,$$,4.0,,,Grand Central Station,342.6240801960659
Ess-a-Bagel,$,4.0,,,Grand Central Station,675.3019994962608
Benjamin Steakhouse,$$$$,4.0,,,Grand Central Station,205.7956396959502
Café Zaiya,$,4.0,,,Grand Central Station,295.9880985604802
The Campbell Bar,$$$,4.0,,,Grand Central Station,50.90768498684271
Urbanspace Vanderbilt,$$,4.0,,,Grand Central Station,185.22310466312064
VITAE,$$$,4.0,,,Grand Central Station,313.0137051193699
Xi'an Famous Foods,$,4.0,,,Grand Central Station,440.9400937620986
Hatsuhana Sushi Restaurant,$$$,4.0,,,Grand Central Station,448.56239290752666
Grand Central Oyster Bar,$$$,3.5,,,Grand Central Station,30.724685211581722
The Sea Fire Grill,$$$,4.5,,,Grand Central Station,449.77655145057076
Katsu-Hama,$$,4.0,,,Grand Central Station,385.500523957892
The Capital Grille,$$$,4.0,,,Grand Central Station,276.4123519655157
Calle Dao - Bryant Park,$$,4.0,,,Grand Central Station,607.3114130846666
Ai Fiori,$$$$,4.0,,,Grand Central Station,650.1722610875719
Sons of Thunder,$$,4.5,,,Grand Central Station,581.9626291005532
Le Bernardin,$$$$,4.5,,,Grand Central Station,1029.3675584192554
Udon West,$$,4.0,,,Grand Central Station,302.5999094306277
The Ginger Man,$$,4.0,,,Grand Central Station,600.1476425450132
Soba Totto,$$,4.0,,,Grand Central Station,390.90919354921175
Aburiya Kinnosuke,$$$,4.0,,,Grand Central Station,411.94792817485603
Rockefeller Center,,4.5,,,Grand Central Station,690.5435794786885
Tommy Bahama Restaurant | Bar | Store - New York,$$$,4.0,,,Grand Central Station,319.08687703398033
Shake Shack,$$,3.5,,,Grand Central Station,3.7129396555674554
Nino's 46,$$,4.0,,,Grand Central Station,521.9077112285406
Ipanema Restaurant,$$,4.0,,,Grand Central Station,548.7205647929455
Gyu-Kaku Japanese BBQ,$$$,4.0,,,Grand Central Station,611.6742609962295
Café China,$$,4.0,,,Grand Central Station,532.6915416045015
The Modern,$$$$,4.5,,,Grand Central Station,890.6625450526309
Gabriel Kreuther,$$$$,4.5,,,Grand Central Station,490.6720112008718
Cask Bar & Kitchen,$$,4.0,,,Grand Central Station,858.6368403104145
Park Avenue Tavern,$$,4.0,,,Grand Central Station,328.70867746871056
Avra Estiatorio,$$$,4.0,,,Grand Central Station,452.04759034696343
Previti Pizza,$,4.0,,,Grand Central Station,230.78190609168004
Sarge's Delicatessen & Diner,$$,4.0,,,Grand Central Station,630.7605013347328
Uncle Gussy's,$,4.5,,,Grand Central Station,611.2768915483446
CoCo Fresh Tea & Juice,$,4.0,,,Grand Central Station,235.35415309348343
Luke's Lobster Midtown East,$$,4.0,,,Grand Central Station,373.1498665097783
Bouchon Bakery,$$,4.0,,,Grand Central Station,598.4007029895846
The Bar Downstairs,$$$,4.0,,,Grand Central Station,334.20919616625923
Chrysler Building,,4.5,,,Grand Central Station,210.19641266794574
Blue Bottle Coffee,$$,4.5,,,Grand Central Station,637.1035191039194
